Frame,Spot_ID,Ref_X,Ref_Y,Distorted_X,Distorted_Y,Shift_X,Shift_Y
7,71,414,138,277,141,-137,3
7,72,368,138,228,140,-140,2
7,73,322,138,462,139,140,1
7,74,276,138,141,139,-135,1
7,75,230,138,367,138,137,0
7,76,184,138,183,138,-1,0
7,77,138,138,91,136,-47,-2
7,78,92,138,46,136,-46,-2
7,79,46,138,416,135,370,-3
7,80,460,92,323,95,-137,3
7,81,414,92,45,94,-369,2
7,82,368,92,273,92,-95,0
7,83,322,92,457,91,135,-1
7,84,276,92,412,91,136,-1
7,85,230,92,365,91,135,-1
7,86,184,92,231,91,47,-1
7,87,138,92,182,91,44,-1
7,88,92,92,139,91,47,-1
7,89,46,92,95,91,49,-1
7,90,460,46,92,49,-368,3
7,91,414,46,44,49,-370,3
7,92,368,46,463,48,95,2
7,93,322,46,365,47,43,1
7,94,276,46,185,47,-91,1
7,95,230,46,135,47,-95,1
7,96,184,46,232,45,48,-1
7,97,138,46,413,43,275,-3
7,98,92,46,321,43,229,-3
7,99,46,46,273,43,227,-3
8,0,460,460,320,463,-140,3
8,1,414,460,233,463,-181,3
8,2,368,460,93,463,-275,3
8,3,322,460,460,461,138,1
8,4,276,460,417,461,141,1
8,5,230,460,371,461,141,1
8,6,184,460,275,461,91,1
8,7,138,460,182,461,44,1
8,8,92,460,136,461,44,1
8,9,46,460,48,459,2,-1
8,10,460,414,324,417,-136,3
8,11,414,414,278,417,-136,3
8,12,368,414,368,416,0,2
8,13,322,414,412,415,90,1
8,14,276,414,227,415,-49,1
8,15,230,414,92,414,-138,0
8,16,184,414,46,414,-138,0
8,17,138,414,461,412,323,-2
8,18,92,414,185,412,93,-2
8,19,46,414,141,412,95,-2
8,20,460,368,136,371,-324,3
8,21,414,368,92,371,-322,3
8,22,368,368,459,370,91,2
8,23,322,368,233,370,-89,2
8,24,276,368,324,369,48,1
8,25,230,368,276,369,46,1
8,26,184,368,365,368,181,0
8,27,138,368,187,367,49,-1
8,28,92,368,49,367,-43,-1
8,29,46,368,413,366,367,-2
8,30,460,322,459,325,-1,3
8,31,414,322,231,325,-183,3
8,32,368,322,322,324,-46,2
8,33,322,322,45,324,-277,2
8,34,276,322,415,323,139,1
8,35,230,322,182,322,-48,0
8,36,184,322,141,322,-43,0
8,37,138,322,276,321,138,-1
8,38,92,322,93,321,1,-1
8,39,46,322,369,320,323,-2
8,40,460,276,48,279,-412,3
8,41,414,276,411,278,-3,2
8,42,368,276,279,278,-89,2
8,43,322,276,463,276,141,0
8,44,276,276,181,276,-95,0
8,45,230,276,324,275,94,-1
8,46,184,276,140,275,-44,-1
8,47,138,276,92,275,-46,-1
8,48,92,276,367,273,275,-3
8,49,46,276,229,273,183,-3
8,50,460,230,231,233,-229,3
8,51,414,230,275,232,-139,2
8,52,368,230,324,231,-44,1
8,53,322,230,183,231,-139,1
8,54,276,230,457,230,181,0
8,55,230,230,412,230,182,0
8,56,184,230,48,230,-136,0
8,57,138,230,368,228,230,-2
8,58,92,230,136,228,44,-2
8,59,46,230,90,227,44,-3
8,60,460,184,279,187,-181,3
8,61,414,184,231,186,-183,2
8,62,368,184,137,186,-231,2
8,63,322,184,43,186,-279,2
8,64,276,184,412,185,136,1
8,65,230,184,319,185,89,1
8,66,184,184,462,182,278,-2
8,67,138,184,369,182,231,-2
8,68,92,184,185,182,93,-2
8,69,46,184,94,182,48,-2
8,70,460,138,457,141,-3,3
8,71,414,138,414,140,0,2
8,72,368,138,183,140,-185,2
8,73,322,138,322,138,0,0
8,74,276,138,232,138,-44,0
8,75,230,138,138,137,-92,-1
8,76,184,138,44,137,-140,-1
8,77,138,138,368,136,230,-2
8,78,92,138,274,135,182,-3
8,79,46,138,95,135,49,-3
8,80,460,92,279,95,-181,3
8,81,414,92,141,95,-273,3
8,82,368,92,368,94,0,2
8,83,322,92,323,94,1,2
8,84,276,92,415,92,139,0
8,85,230,92,459,91,229,-1
8,86,184,92,185,90,1,-2
8,87,138,92,231,89,93,-3
8,88,92,92,90,89,-2,-3
8,89,46,92,46,89,0,-3
8,90,460,46,461,49,1,3
8,91,414,46,136,49,-278,3
8,92,368,46,365,48,-3,2
8,93,322,46,43,48,-279,2
8,94,276,46,417,46,141,0
8,95,230,46,319,46,89,0
8,96,184,46,229,46,45,0
8,97,138,46,275,43,137,-3
8,98,92,46,181,43,89,-3
8,99,46,46,95,43,49,-3
9,0,460,460,459,463,-1,3
9,1,414,460,95,463,-319,3
9,2,368,460,275,462,-93,2
9,3,322,460,319,460,-3,0
9,4,276,460,416,459,140,-1
9,5,230,460,228,459,-2,-1
9,6,184,460,366,458,182,-2
9,7,138,460,45,458,-93,-2
9,8,92,460,186,457,94,-3
9,9,46,460,139,457,93,-3
9,10,460,414,45,417,-415,3
9,11,414,414,457,416,43,2
9,12,368,414,325,415,-43,1
